id,content
1,atomic — AI-агентная система с роутингом.
2,RetrieverAgent отвечает за поиск в знаниях.
3,CommandAgent выполняет код и действия.
4,atomic — AI-агентная система с роутингом.
5,RetrieverAgent отвечает за поиск в знаниях.
6,CommandAgent выполняет код и действия.
7,atomic — AI-агентная система с роутингом.
8,RetrieverAgent отвечает за поиск в знаниях.
9,CommandAgent выполняет код и действия.
10,"Инструкция по запуску автоматизированной системы
	1.	Убедиться в наличии электропитания и сетевого подключения оборудования.
	2.	Проверить доступность серверов и основных компонентов инфраструктуры.
	3.	Запустить сервер баз данных.
	4.	Запустить основные сервисы автоматизированной системы.
	5.	Проверить корректность запуска сервисов в системе мониторинга или журнале событий.
	6.	Убедиться в доступности пользовательского интерфейса системы.
	7.	Зафиксировать результат запуска в журнале эксплуатации."
11,"Инструкция по корректному завершению работы системы
	1.	Уведомить пользователей о планируемом завершении работы системы.
	2.	Убедиться, что активные операции пользователей завершены.
	3.	Остановить прикладные сервисы системы.
	4.	Остановить интеграционные сервисы и фоновые процессы.
	5.	Завершить работу сервера приложений.
	6.	Корректно остановить сервер баз данных.
	7.	Сделать запись о завершении работы системы в журнале эксплуатации."
12,"Инструкция по перезапуску сервисов АС
	1.	Определить сервис, требующий перезапуска.
	2.	Проверить наличие активных операций, выполняемых данным сервисом.
	3.	Остановить сервис штатными средствами управления.
	4.	Проверить завершение процесса в системе.
	5.	Запустить сервис повторно.
	6.	Проверить корректность запуска и отсутствие ошибок в журналах.
	7.	Зафиксировать выполненные действия в журнале эксплуатации."
13,atomic — AI-агентная система с роутингом.
14,RetrieverAgent отвечает за поиск в знаниях.
15,CommandAgent выполняет код и действия.
16,Инструкция по запуску автоматизированной системы 1. Убедиться в наличии электропитания и сетевого подключения оборудования. 2. Проверить доступность серверов и основных компонентов инфраструктуры. 3. Запустить сервер баз данных. 4. Запустить основные сервисы автоматизированной системы. 5.
17,Проверить корректность запуска сервисов в системе мониторинга или журнале событий. 6. Убедиться в доступности пользовательского интерфейса системы. 7. Зафиксировать результат запуска в журнале эксплуатации.
18,"Инструкция по корректному завершению работы системы 1. Уведомить пользователей о планируемом завершении работы системы. 2. Убедиться, что активные операции пользователей завершены. 3. Остановить прикладные сервисы системы. 4. Остановить интеграционные сервисы и фоновые процессы. 5. Завершить работу сервера приложений. 6. Корректно остановить сервер баз данных. 7. Сделать запись о завершении работы системы в журнале эксплуатации."
19,"Инструкция по перезапуску сервисов АС 1. Определить сервис, требующий перезапуска. 2. Проверить наличие активных операций, выполняемых данным сервисом. 3. Остановить сервис штатными средствами управления. 4. Проверить завершение процесса в системе. 5. Запустить сервис повторно. 6. Проверить корректность запуска и отсутствие ошибок в журналах. 7. Зафиксировать выполненные действия в журнале эксплуатации."
